City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vostok,46.49,135.88,17.09,90,3,1.42,RU,1594932027
general pico,-35.66,-63.76,14.15,49,4,2.62,AR,1594932003
borda da mata,-22.27,-46.17,16.68,82,44,2.03,BR,1594932028
araouane,18.9,-3.53,34.57,32,85,5.65,ML,1594932028
cangucu,-31.39,-52.68,12.0,87,96,5.1,BR,1594932028
lashio,22.93,97.75,20.7,99,100,0.37,MM,1594932029
tautira,-17.73,-149.15,28.0,69,40,2.6,PF,1594932029
port macquarie,-31.43,152.92,14.44,76,49,1.34,AU,1594931951
shimoda,34.67,138.95,16.67,96,100,0.89,JP,1594932029
rio grande,-32.03,-52.1,12.0,87,61,5.1,BR,1594931856
kattivakkam,13.22,80.32,26.0,94,75,1.0,IN,1594931925
luanda,-8.84,13.23,22.0,88,0,4.1,AO,1594931766
salinopolis,-0.61,-47.36,26.66,84,36,4.73,BR,1594932030
lisala,2.15,21.52,21.89,94,100,0.48,CD,1594932031
beira,-19.84,34.84,21.0,68,75,7.7,MZ,1594932012
eucaliptus,-17.58,-67.52,14.02,27,0,1.7,BO,1594932031
mastic beach,40.77,-72.85,24.44,56,1,3.1,US,1594932031
abu samrah,35.3,37.18,21.97,67,0,5.26,SY,1594932031
svetlaya,46.54,138.33,18.32,88,5,2.07,RU,1594931909
lobito,-12.35,13.55,20.82,84,0,1.98,AO,1594932032
flagstaff,35.2,-111.65,26.0,24,75,7.7,US,1594932032
barranca,-10.75,-77.77,17.48,74,24,4.19,PE,1594932032
buenos aires,-34.61,-58.38,14.44,71,19,2.1,AR,1594931961
narasannapeta,18.42,84.05,27.05,83,59,5.12,IN,1594932033
finnsnes,69.23,17.98,14.0,87,75,0.81,NO,1594932033
savannah bight,16.45,-85.85,28.72,77,73,4.53,HN,1594932033
palmer,42.16,-72.33,25.0,58,72,1.79,US,1594932013
hammerfest,70.66,23.68,13.0,76,20,2.1,NO,1594931857
lompoc,34.64,-120.46,24.0,53,8,2.6,US,1594932013
fort nelson,58.81,-122.7,17.0,82,90,1.5,CA,1594932035
hede,33.77,120.25,18.34,93,67,2.02,CN,1594932035
toora-khem,52.47,96.11,9.39,71,75,0.71,RU,1594932035
xichang,27.9,102.26,20.24,81,100,0.29,CN,1594932035
impfondo,1.64,18.07,22.52,92,100,0.84,CG,1594932036
ahipara,-35.17,173.17,14.77,90,100,4.51,NZ,1594931953
padang,-0.95,100.35,25.2,82,95,2.46,ID,1594932036
isla mujeres,21.23,-86.73,32.0,62,20,4.6,MX,1594932036
charlestown,-32.95,151.67,12.22,82,100,1.34,AU,1594931894
roald,62.58,6.13,16.67,77,75,2.6,NO,1594932036
muros,42.78,-9.06,21.11,62,60,5.36,ES,1594932037
luau,-10.71,22.22,18.67,29,11,4.11,AO,1594932037
eureka,40.8,-124.16,21.11,72,20,3.1,US,1594932037
ponta delgada,37.73,-25.67,21.0,77,75,4.1,PT,1594932038
huarmey,-10.07,-78.15,18.66,70,4,4.37,PE,1594931873
nuevo progreso,23.17,-97.95,33.89,54,11,2.24,MX,1594932038
shepsi,44.04,39.15,23.87,72,86,3.31,RU,1594932038
sao joao da barra,-21.64,-41.05,22.0,68,75,3.1,BR,1594931960
port moresby,-9.44,147.18,23.73,90,29,4.95,PG,1594932039
merauke,-8.47,140.33,24.32,82,8,5.98,ID,1594932039
marsh harbour,26.54,-77.06,28.6,74,0,6.51,BS,1594932038
flinders,-34.58,150.86,12.22,74,56,4.47,AU,1594931773
salalah,17.02,54.09,28.0,94,75,3.1,OM,1594932040
daltenganj,24.03,84.07,27.73,73,81,2.41,IN,1594932040
ryotsu,38.08,138.43,18.0,93,100,1.0,JP,1594932040
north bend,43.41,-124.22,25.56,77,90,8.7,US,1594931923
vanimo,-2.67,141.3,25.56,83,40,0.85,PG,1594932041
abha,18.22,42.51,21.0,52,47,5.1,SA,1594931886
maniitsoq,65.42,-52.9,8.13,82,7,3.75,GL,1594932041
northam,51.03,-4.22,17.22,94,0,2.24,GB,1594932041
dargaville,-35.93,173.88,14.15,90,100,5.33,NZ,1594931906
kamenka,51.32,42.77,16.11,67,0,2.0,RU,1594932042
baruun-urt,46.68,113.28,14.41,90,31,4.19,MN,1594932042
upington,-28.45,21.26,9.0,39,0,3.1,ZA,1594932042
gat,31.61,34.76,26.11,70,0,0.61,IL,1594932043
moussoro,13.64,16.49,28.84,54,80,6.53,TD,1594932043
fayaoue,-20.65,166.53,20.92,62,0,3.22,NC,1594932043
naze,28.37,129.48,26.0,94,75,5.7,JP,1594931880
belmonte,-15.86,-38.88,24.0,69,75,3.6,BR,1594932043
ilhabela,-23.78,-45.36,19.42,79,71,4.96,BR,1594932044
broome,42.25,-75.83,24.44,73,90,6.7,US,1594932044
san juan,-31.54,-68.54,17.73,28,0,2.06,AR,1594932045
pemangkat,1.17,108.97,25.1,89,99,1.91,ID,1594931903
touros,-5.2,-35.46,25.0,83,75,2.6,BR,1594932045
bahia honda,22.9,-83.16,29.59,71,90,4.87,CU,1594931884
assomada,15.1,-23.68,26.0,69,75,4.6,CV,1594932046
cabedelo,-6.98,-34.83,24.0,94,75,3.1,BR,1594932046
oranjemund,-28.55,16.43,19.25,25,0,4.71,NA,1594931914
registro,-24.49,-47.84,17.14,85,61,1.1,BR,1594932046
yerbogachen,61.28,108.01,8.87,86,0,3.01,RU,1594932047
umba,66.69,34.34,10.14,71,0,1.13,RU,1594932047
norrtalje,59.76,18.7,17.78,80,0,1.67,SE,1594932047
jacarei,-23.31,-45.97,19.0,68,5,3.1,BR,1594932048
springbok,-29.66,17.89,11.68,40,0,6.96,ZA,1594932048
kaeo,-35.1,173.78,15.56,3,100,3.13,NZ,1594932048
morant bay,17.88,-76.41,32.0,52,40,7.7,JM,1594932048
deputatskiy,69.3,139.9,5.43,75,36,1.35,RU,1594932049
jacareacanga,-6.22,-57.75,30.25,54,57,1.23,BR,1594932049
soe,-9.86,124.28,17.31,100,54,1.9,ID,1594932049
parrita,9.52,-84.32,29.0,47,20,7.7,CR,1594931787
gornopravdinsk,60.05,69.9,18.91,96,5,2.59,RU,1594931915
mikhaylovka,50.06,43.24,17.06,63,75,0.47,RU,1594932049
bejar,40.39,-5.76,28.89,27,23,1.79,ES,1594932050
bom jesus,-9.07,-44.36,27.69,39,0,2.63,BR,1594932050
pathein,16.78,94.73,26.01,88,75,1.65,MM,1594932050
shirokiy,49.76,129.52,20.77,88,90,2.51,RU,1594932050
houma,29.6,-90.72,23.0,100,90,1.5,US,1594931872
lakatoro,-16.1,167.42,21.0,100,40,2.34,VU,1594932050
pochutla,15.74,-96.47,32.22,62,90,6.2,MX,1594932051
skibbereen,51.55,-9.27,19.0,63,20,3.6,IE,1594932051
kiunga,-6.12,141.29,22.83,96,97,1.37,PG,1594932051
khorixas,-20.37,14.97,15.85,30,0,6.66,NA,1594932051
pitimbu,-7.47,-34.81,24.0,94,75,3.1,BR,1594932051
santa lucia,27.91,-15.54,23.0,73,2,10.3,ES,1594932052
hambantota,6.12,81.12,27.86,74,100,8.67,LK,1594931909
udachnyy,66.42,112.4,11.0,76,2,2.0,RU,1594932052
bambari,5.77,20.68,21.39,94,100,0.25,CF,1594932052
abnub,27.27,31.15,28.37,32,0,6.95,EG,1594932052
gatehouse of fleet,54.88,-4.18,17.22,82,34,1.79,GB,1594932053
coatzacoalcos,18.15,-94.42,31.0,66,75,5.1,MX,1594931881
le pradet,43.11,6.02,25.0,53,70,1.0,FR,1594932053
san quintin,30.48,-115.95,22.69,65,1,6.41,MX,1594931773
pakxan,18.38,103.66,25.08,88,93,0.64,LA,1594932054
nalut,30.33,10.85,29.9,17,7,1.37,LY,1594932054
riachao das neves,-11.75,-44.91,26.51,35,32,2.03,BR,1594932054
opuwo,-18.06,13.84,14.52,34,0,6.54,NA,1594932054
itarema,-2.92,-39.92,26.34,72,0,6.03,BR,1594932055
balkhash,46.84,74.98,24.4,42,0,9.35,KZ,1594932055
leningradskiy,69.38,178.42,6.31,87,99,4.7,RU,1594932055
tevriz,57.51,72.4,20.79,90,0,2.01,RU,1594932055
balkanabat,39.51,54.37,25.55,75,0,2.67,TM,1594932056
kilindoni,-7.91,39.67,24.99,68,73,9.78,TZ,1594932056
martinho campos,-19.33,-45.24,21.99,56,99,0.4,BR,1594932056
cidreira,-30.18,-50.21,12.7,87,100,8.66,BR,1594932056
lake havasu city,34.48,-114.32,43.33,8,1,5.7,US,1594932056
valparaiso,-33.04,-71.63,13.0,71,100,2.1,CL,1594931874
lorengau,-2.02,147.27,27.96,69,64,1.67,PG,1594932056
batagay,67.63,134.63,10.71,52,47,1.48,RU,1594932057
rondonopolis,-16.47,-54.64,30.54,19,0,2.42,BR,1594931963
chacabuco,-34.64,-60.47,16.67,43,1,3.0,AR,1594931960
pangnirtung,66.15,-65.71,17.0,51,20,1.6,CA,1594932057
ashqelon,31.67,34.57,26.11,69,40,2.1,IL,1594932057
freiburg,46.8,7.15,18.0,72,90,0.74,CH,1594932057
kloulklubed,7.04,134.26,28.48,72,93,3.06,PW,1594932058
ostrovskoye,57.81,42.24,12.53,98,9,2.77,RU,1594932058
broken hill,-31.95,141.43,5.0,65,0,3.1,AU,1594931931
tombouctou,20.0,-3.0,34.94,31,100,7.92,ML,1594932059
lubango,-14.92,13.49,12.69,37,0,3.66,AO,1594931922
pietarsaari,63.65,22.68,14.44,87,0,0.5,FI,1594932059
redlands,34.06,-117.18,32.78,27,5,3.1,US,1594932059
xiaoweizhai,26.19,107.51,22.06,94,99,2.82,CN,1594932060
yarmouth,41.71,-70.23,20.56,71,90,3.93,US,1594932060
paltin,45.78,26.72,20.0,68,40,2.1,RO,1594932060
sovetskaya gavan,48.97,140.29,16.24,93,35,3.43,RU,1594932060
tessalit,20.2,1.01,33.45,30,25,5.46,ML,1594932061
seoul,37.57,126.98,22.0,94,1,0.42,KR,1594931886
tarauaca,-8.16,-70.77,30.87,51,8,0.73,BR,1594932061
nabire,-3.37,135.48,23.55,89,7,1.58,ID,1594932062
buraydah,26.33,43.98,36.0,19,2,4.6,SA,1594932062
jasper,37.2,-94.35,32.78,58,1,5.7,US,1594932062
freetown,8.48,-13.23,28.0,69,75,2.6,SL,1594932062
guanica,17.97,-66.91,31.67,61,2,2.68,PR,1594932063
churapcha,62.0,132.43,19.99,52,41,2.21,RU,1594932063
hasaki,35.73,140.83,18.0,93,75,3.1,JP,1594931945
dukat,62.55,155.55,9.69,92,100,3.58,RU,1594932063
carutapera,-1.2,-46.02,25.13,89,4,2.61,BR,1594932002
mandurah,-32.55,115.7,13.89,79,58,1.34,AU,1594932063
margate,51.38,1.39,18.33,82,95,0.45,GB,1594932064
quatre cocos,-20.21,57.76,21.0,77,40,3.6,MU,1594932064
vao,-22.67,167.48,20.73,64,85,6.11,NC,1594932065
gamba,-2.65,10.0,21.71,92,100,1.79,GA,1594932065
barnbach,47.03,15.85,18.0,82,75,2.1,AT,1594932065
pangoa,-12.12,-73.0,27.78,56,5,2.42,PE,1594932065
milagros,12.22,123.51,26.14,87,93,2.91,PH,1594932065
cairo montenotte,44.4,8.27,23.33,73,1,1.42,IT,1594932066
grindavik,63.84,-22.43,10.0,93,90,4.1,IS,1594932066
zella-mehlis,50.65,10.65,15.56,80,59,0.95,DE,1594932066
